date,time,account,text
2024-10-08,11:38:32,ペパーミント@If8Rywjdt,"ディレイヤリング
バウンダリレス
ワークアウト
ストレッチ#mgtorg2024"
2024-10-08,11:38:54,まる@oDApfas7DPvsAp3,ストレッチ経験！！#mgtorg2024
2024-10-08,11:39:13,プリン@DFJCjy4gHbruyGo,上司に聞かないで自分で判断する「ディレイヤリング」難しそう。そんな環境や関係を作るのも難しいし、上司が部下の力を信じていないとなかなか達成しないよね#mgtorg2024
2024-10-08,11:39:44,味噌ラーメン@yuta_mgtorg2024,世の中に「合わせる」という意味での「ストレッチ」とも捉えられるかも？#mgtorg2024
2024-10-08,11:40:53,Metallica@dsmpG44yCS3083,#mgtorg2024能力が低くてもマニュアル通りにやっとけばよかった時代から個人も上司と同等のレベルを持ってないといけない時代になってる。そうしないと変化に適応できない。日本はそういった人材を育成できなかったのかな？
2024-10-08,11:41:30,うちだ@uchi_da0808,"#mgtorg2024マニュアルが通用しない環境になり、生産性重視の組織が落ち込む
↓
有機体としての組織が求められるように
↓
創造性の高い適応的熟達者・ナレッジワーカーの価値が高まる
↓
就活でガクチカ・主体性を重視する企業が多いのはこのため？"
2024-10-08,11:41:39,味噌ラーメン@yuta_mgtorg2024,"組織は変わらなきゃいけない、と思いつつも、何年も続けてきたことだから難しいのかも。
だからこそ、新卒の大学生に、「変えられる」能力を求められてるのかもなぁ…#mgtorg2024"
2024-10-08,11:42:19,ボウルサラダボウル@SiTiMiY4_ch,"#mgtorg2024でも権限委譲でも上司と「コミュニケーション］を取らなくなるわけではないんだよな。
むしろ、チームとしては創造性求めてるんだし"
2024-10-08,11:42:28,味噌ラーメン@yuta_mgtorg2024,"「フラット化」
→権限委譲が進み、上司にお伺いを立てる必要が少なくなった。#mgtorg2024"
2024-10-08,11:42:56,うちだ@uchi_da0808,#mgtorg2024フラットな組織・自立性重視の組織が魅力的と言われる風潮はこういう背景があるのか〜
2024-10-08,11:43:06,harunchu@hamunin331,フラット化か、なるほど#mgtorg2024
2024-10-08,11:43:12,ペパーミント@If8Rywjdt,変わろうとしてる企業は多いけど、企業の中に確立された古い価値観、昔からの強みを壊しながら進むのって本当に難しいはず。その意思決定はやはり官僚にあるんだよね…#mgtorg2024
2024-10-08,11:43:39,まめきち@mamekiti_hamham,フラット化の方、リーダーっていう存在は必要な気がするんだけど部下たちとは上下じゃなくて仲間って感じの横並びなイメージ#mgtorg2024
2024-10-08,11:44:13,味噌ラーメン@yuta_mgtorg2024,"プロジェクトチーム
→規模と時間のちょうどいい塩梅が保てるのかな？#mgtorg2024"
2024-10-08,11:44:20,Metallica@dsmpG44yCS3083,#mgtorg2024なんかそうなようなの別の授業でやったなぁ。タスクフォースみたいな。
2024-10-08,11:45:03,土方@ryunen_shimamu,コンサルとかこんな感じで各々がプロジェクトにアサインされるだけと聞いたなあ#mgtorg2024
2024-10-08,11:45:09,うちだ@uchi_da0808,"#mgtorg2024「プロジェクト」
ルーチン化されてない目的だけが設定された仕事を達成するために結成されるチーム。やり方や権限の面で自由なのが特徴"
2024-10-08,11:45:25,インドアなアウトドア派@indoornaoutdoor,組織のフラット化によって、役所に応じた給料ではなく、個人の能力に応じた給料になるのか？#mgtorg2024
2024-10-08,11:46:30,ボウルサラダボウル@SiTiMiY4_ch,"#mgtorg2024プロジェクトチームって昔から取り組まれてきた気がしるんだけど違うのか？

→今重要性が高まってるってだけ？"
2024-10-08,11:46:44,まる@oDApfas7DPvsAp3,"カフェゼミのチームも、カフェゼミが終われば解散
達成するため、プロジェクトを成功させるために、カフェゼミ前に研究室に集まって同じ時間を過ごす。そして、色んなことをやる。
これが楽しい#mgtorg2024"
2024-10-08,11:46:55,あもーれ@1sfzWkHIGu6XdGs,たとえプロジェクトが継続するとしても、メンバーが刷新されることもある。良くも悪くも組織文化とかは固着化しないから、動きやすいと思う。#mgtorg2024
2024-10-08,11:47:11,Metallica@dsmpG44yCS3083,#mgtorg2024プロジェクトチームってなんかドラクエみたいだな。魔王討伐が目的で多様な専門分野（戦士僧侶魔法使いみたいな）で構成されてて、少数でリーダー（勇者）はいるけど特に階級もないし。
2024-10-08,11:47:16,うちだ@uchi_da0808,#mgtorg2024もしかしてプロジェクトチームって割と最近主流になってきた形態ってことか？昔から普通にあると思ってた
2024-10-08,11:47:45,プリン@DFJCjy4gHbruyGo,"このピラミッド組織から権限委譲の話を聞いて地面師思い出した＾＾笑
本来は会議？を通して決定されるけど一人の人が全て早く進めてしまって詐欺に騙されてしまうっていう、、あれは社長も裏で同意してたとはいえ、彼の負う責任の大きさが大きすぎるよね、怖い#mgtorg2024"
2024-10-08,11:48:16,インドアなアウトドア派@indoornaoutdoor,プロジェクトチームは企業の部門間のローテーションみたいなことなのか？#mgtorg2024
2024-10-08,11:48:47,まる@oDApfas7DPvsAp3,"マニュアルがないから試行錯誤しながら成功を目指す
色んなところに目配せして、スピード感のある作業をしていく
リーダーはもちろんいるけど、みんなが意見を出す#mgtorg2024"
2024-10-08,11:48:56,ペパーミント@If8Rywjdt,ゼミの中でも機械できる人、できない人の差が開くのはプロジェクトチームじゃないよなぁ。#mgtorg2024
2024-10-08,11:49:06,うちだ@uchi_da0808,#mgtorg2024確かに新歓の広報も営業も企画もみんなで全部やったな〜あんまり役割分担キチッとしてなかった
2024-10-08,11:49:09,プリン@DFJCjy4gHbruyGo,でもこれはピラミッドだったからこそ起きたのかな？フラットで関係性がしっかりしてたら起きないのかもしれない#mgtorg2024
2024-10-08,11:49:11,味噌ラーメン@yuta_mgtorg2024,"リーダーはいるのに、権限の階層性がないってどういうことなんだ？
リーダーはいるけどいなくてもOKみたいな？#mgtorg2024"
2024-10-08,11:49:38,まめきち@mamekiti_hamham,"そうそう！まさにそんな感じ！
みんながリーダーみたいな！！
できないところは助け合って信頼関係があるチーム#mgtorg2024"
2024-10-08,11:50:53,Metallica@dsmpG44yCS3083,#mgtorg2024普通の仕事とプロジェクトチームの二足の草鞋なんだな。
2024-10-08,11:51:02,味噌ラーメン@yuta_mgtorg2024,"プロジェクトチーム
「適材適所」の一つの例みたいな感じなのかな？#mgtorg2024"
2024-10-08,11:51:48,ペパーミント@If8Rywjdt,「グループジーニャス」の概念が、大きな組織にも必要なことが、うまく理解できた気がする！#mgtorg2024
2024-10-08,11:52:12,土方@ryunen_shimamu,グループ・ジーニアスって要するに3人寄れば文殊の知恵？#mgtorg2024
2024-10-08,11:52:32,味噌ラーメン@yuta_mgtorg2024,"プロジェクトチーム
→うまくいくかわからない仕事を与えられている
これにワクワクできる人が活躍できるんだろうなぁ#mgtorg2024"
2024-10-08,11:53:00,まる@oDApfas7DPvsAp3,プロジェクトチームは特に、失敗してもいいよの環境がめちゃくちゃ必要#mgtorg2024
2024-10-08,11:53:01,Metallica@dsmpG44yCS3083,#mgtorg2024自立してるけど協力的、管理されてないけどチーム一丸みたいにどっちかじゃなくてどっちも持ってるのがプロジェクトチームなのか。
2024-10-08,11:53:52,うちだ@uchi_da0808,#mgtorg2024むしろ大企業の方が積極的にプロジェクトチーム作ってる印象ある。
